idat	Sample_accession	Project_accession	Cell_Type	Cell_Type_plot	Sex	Cell_Line	Classifier	Timecourse	Test	EPIC_version	Array	Slide	Basename	Cell_Type_Classifier	Class_rf
208010440041_R02C01	BIHi001-B_astro_d30_GLAST_Rep1	BIH	iPSC Astrocyte Late	iPSC derived Astrocyte Late	Male	BIHi001-B	Yes	No	No	v2	R02C01	2.0801e+11	/mnt/sda1/data/EPIC_data/EPIC_data_Neuropath_Berlin/2024.05.16_935K/208010440041_R02C01	iPSC derived Astrocyte	Astrocyte
208010440041_R01C01	BIHi001-B_astro_d30_GLAST_Rep2	BIH	iPSC Astrocyte Late	iPSC derived Astrocyte Late	Male	BIHi001-B	Yes	No	No	v2	R01C01	2.0801e+11	/mnt/sda1/data/EPIC_data/EPIC_data_Neuropath_Berlin/2024.05.16_935K/208010440041_R01C01	iPSC derived Astrocyte	Astrocyte
208010430001_R08C01	BIHi001-B-7_mesoderm	BIH	iPSC Mesoderm	iPSC derived Mesoderm	Male	BIHi001-B-7	Yes	No	No	v2	R08C01	2.0801e+11	/mnt/sda1/data/EPIC_data/EPIC_data_Neuropath_Berlin/2024.03.28_935K/208010430001_R08C01	iPSC derived Mesoderm	Mesoderm
208010430001_R01C01	hLOA027_UD_BIHi250A_d14	BIH	iPSC lung progenitor	iPSC derived Lung Progenitor	Female	BIHi250-A	Yes	No	No	v2	R01C01	2.0801e+11	/mnt/sda1/data/EPIC_data/EPIC_data_Neuropath_Berlin/2024.03.28_935K/208010430001_R01C01	iPSC derived Lung Progenitor	Lung
208010430001_R06C01	LP.018_BIHi250-A_d15_CPM+	BIH	iPSC lung progenitor	iPSC derived Lung Progenitor	Female	BIHi250-A	Yes	No	No	v2	R06C01	2.0801e+11	/mnt/sda1/data/EPIC_data/EPIC_data_Neuropath_Berlin/2024.03.28_935K/208010430001_R06C01	iPSC derived Lung Progenitor	Lung
208160540190_R05C01	Lung009-d15_GT_GT-CPM+_PFA	BIH	iPSC lung progenitor	iPSC derived Lung Progenitor	Male	BIHi001-B	Yes	No	No	v2	R05C01	2.08161e+11	/mnt/sda1/data/EPIC_data/EPIC_data_Neuropath_Berlin/2024.03.13_935K/208160540190_R05C01	iPSC derived Lung Progenitor	Lung
208197680110_R05C01	R2 BIH2 d26	BIH	iPSC Astrocyte Late	iPSC derived Astrocyte Late	Female	BIHi250-A	Yes	No	No	v2	R05C01	2.08198e+11	/mnt/sda1/data/EPIC_data/EPIC_data_Neuropath_Berlin/2024.04.10_935K/208197680110_R05C01	iPSC derived Astrocyte	Astrocyte
208010440130_R03C01	R2 GLAST PO5 BIH2	BIH	iPSC Astrocyte Late	iPSC derived Astrocyte Late	Female	BIHi250-A	Yes	No	No	v2	R03C01	2.0801e+11	/mnt/sda1/data/EPIC_data/EPIC_data_Neuropath_Berlin/2024.05.16_935K/208010440130_R03C01	iPSC derived Astrocyte	Astrocyte
208010440130_R05C01	R2 PO5 BIH 2 GLAST	BIH	iPSC Astrocyte Late	iPSC derived Astrocyte Late	Female	BIHi250-A	Yes	No	No	v2	R05C01	2.0801e+11	/mnt/sda1/data/EPIC_data/EPIC_data_Neuropath_Berlin/2024.05.16_935K/208010440130_R05C01	iPSC derived Astrocyte	Astrocyte
208197680110_R06C01	R3 BIH2 d27	BIH	iPSC Astrocyte Late	iPSC derived Astrocyte Late	Female	BIHi250-A	Yes	No	No	v2	R06C01	2.08198e+11	/mnt/sda1/data/EPIC_data/EPIC_data_Neuropath_Berlin/2024.04.10_935K/208197680110_R06C01	iPSC derived Astrocyte	Astrocyte
208197680110_R04C01	R4 BIH2 d26	BIH	iPSC Astrocyte Late	iPSC derived Astrocyte Late	Female	BIHi250-A	Yes	No	No	v2	R04C01	2.08198e+11	/mnt/sda1/data/EPIC_data/EPIC_data_Neuropath_Berlin/2024.04.10_935K/208197680110_R04C01	iPSC derived Astrocyte	Astrocyte
208197680110_R08C01	R4 PO5 BIH2	BIH	iPSC Astrocyte Late	iPSC derived Astrocyte Late	Female	BIHi250-A	Yes	No	No	v2	R08C01	2.08198e+11	/mnt/sda1/data/EPIC_data/EPIC_data_Neuropath_Berlin/2024.04.10_935K/208197680110_R08C01	iPSC derived Astrocyte	Astrocyte
